NG Num,     3,Result Comment: , 1 = Pass (Green --> Under +/- Threshold of Target or Compared with Golden Sample)
Node NG,    0,                , 0 = Fail (Purple --> Less than Target Voltage)
Line NG,    3,                , 4 = Fail (Red --> More than Target Voltage)
                            ,,, 7 = Fail (Blue --> More or Less than  +/- Threshold of Compared with Golden Sample)
            ,,Fail Parameter: , A = Voltage vs Target
                            ,,, B = Voltage vs Golden Sample
                            ,,, C = Calibration vs Golden Sample
Title,SiS AutoTool_0519A_1+1_150615
ITO,Default
Golden Sample, None

Node Constraints
Target Voltage Threshold (%),Post,12,2.78V,Neg,12,2.19V
Line Constraints
Threshold (%),Calib Time,-25,20
Out of Spec Node (%),Tx,50,Rx,50

X Inverse,0,Y Inverse,0,
XY Exchange
Channel Info,

Data Type,1
region_x_num_per_chip,,Master,5,
region_y_num_per_chip,,Master,6,

Width,48,
Height,56,
Button,0,,,

Table1:,CalibLoopcnt
 Y\X,            X1,            X2,            X3,            X4,            X5,            X6,            X7,            X8,            X9,           X10,           X11,           X12,           X13,           X14,           X15,           X16,           X17,           X18,           X19,           X20,           X21,           X22,           X23,           X24,           X25,           X26,           X27,           X28,           X29,           X30,           X31,           X32,           X33,           X34,           X35,           X36,           X37,           X38,           X39,           X40,           X41,           X42,           X43,           X44,           X45,           X46,           X47,           X48,
 Y40,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y39,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y38,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y37,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y36,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y35,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y34,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y33,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y32,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y31,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y30,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y29,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y28,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y27,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y26,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y25,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y24,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y23,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y22,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y21,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y20,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y19,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y18,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y17,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y16,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y15,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y14,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y13,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y12,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y11,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
 Y10,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
  Y9,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
  Y8,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
  Y7,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
  Y6,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
  Y5,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
  Y4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
  Y3,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
  Y2,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,
  Y1,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,             4,

Table2:,CalibSampleTime
 Y\X,            X1,            X2,            X3,            X4,            X5,            X6,            X7,            X8,            X9,           X10,           X11,           X12,           X13,           X14,           X15,           X16,           X17,           X18,           X19,           X20,           X21,           X22,           X23,           X24,           X25,           X26,           X27,           X28,           X29,           X30,           X31,           X32,           X33,           X34,           X35,           X36,           X37,           X38,           X39,           X40,           X41,           X42,           X43,           X44,           X45,           X46,           X47,           X48,
 Y56,         0.700,         0.700,         0.675,         0.675,         0.675,         0.650,         0.625,         0.600,         0.600,         0.575,         0.575,         0.325,         0.600,         0.525,         0.525,         0.525,         0.550,         0.550,         0.550,         0.550,         0.575,         0.575,         0.525,         0.525,         0.550,         0.525,         0.525,         0.500,         0.450,         0.475,         0.450,         0.450,         0.425,         0.425,         0.425,         0.425,         0.450,         0.425,         0.425,         0.425,         0.400,         0.400,         0.400,         0.375,         0.375,         0.350,         0.350,         0.300,
 Y55,         0.950,         0.950,         0.950,         0.950,         0.950,         0.925,         0.875,         0.875,         0.875,         0.900,         0.875,         0.550,         0.950,         0.900,         0.850,         0.825,         0.875,         0.850,         0.850,         0.875,         0.925,         0.925,         0.825,         0.825,         0.825,         0.800,         0.800,         0.800,         0.775,         0.775,         0.775,         0.775,         0.775,         0.775,         0.750,         0.750,         0.775,         0.775,         0.775,         0.775,         0.750,         0.750,         0.725,         0.725,         0.725,         0.725,         0.700,         0.625,
 Y54,         0.900,         0.950,         0.950,         0.925,         0.950,         0.925,         0.850,         0.850,         0.875,         0.900,         0.875,         0.700,         1.000,         0.950,         0.900,         0.900,         0.950,         0.925,         0.900,         0.875,         0.900,         0.925,         0.850,         0.850,         0.850,         0.850,         0.825,         0.825,         0.775,         0.775,         0.775,         0.775,         0.750,         0.750,         0.750,         0.750,         0.775,         0.750,         0.750,         0.775,         0.750,         0.750,         0.725,         0.725,         0.725,         0.725,         0.725,         0.650,
 Y53,         0.925,         0.950,         0.950,         0.950,         0.950,         0.925,         0.875,         0.850,         0.875,         0.900,         0.875,         0.825,         1.025,         0.975,         0.900,         0.875,         0.950,         0.925,         0.900,         0.900,         0.925,         0.925,         0.850,         0.850,         0.875,         0.875,         0.825,         0.850,         0.775,         0.800,         0.800,         0.800,         0.750,         0.750,         0.750,         0.750,         0.775,         0.775,         0.775,         0.775,         0.750,         0.750,         0.725,         0.725,         0.725,         0.725,         0.725,         0.650,
