
====================================================================================================
Number,       Operation, Result, Comment
     1,      MutualTest,   Fail,  NG X/Y Node = (4,56), (7,1), (9,1), (35,35), (37,35), (39,35), (40,35), (41,35), (43,35), (44,35), (47,35), (48,35) | NG X Channel = X48, NG Y Channel = 1, 21, 34, 35, 56
     2,            None,   None, 
     3,            None,   None, 
     4,            None,   None, 
     5,            None,   None, 
     6,            None,   None, 
     7,            None,   None, 
     8,            None,   None, 
     9,            None,   None, 
    10,            None,   None, 
